"id","fullname","address","phone_number","email","workplace","birthdate","registration_date","gender","income","expenses","credit","deposit"
"1","Волкова Фаина Афанасьевна","с. Новосибирск, наб. Привокзальная, д. 58 к. 5/8, 233326","8 (475) 014-6494","wkirillov@rambler.ru","ст. Кировск (Мурм.), ш. Коммуны, д. 238 стр. 3, 533612","1966-09-07","2017-01-10","F","230910","61975","1",""
"2","Пелагея Вячеславовна Галкина","клх Белокуриха, ш. Комсомольское, д. 701 стр. 814, 834797","+7 (981) 576-1146","bogdanovmoke@rambler.ru","г. Елабуга, бул. 60 лет Октября, д. 5, 070955","1987-05-23","2016-07-14","F","","75232","",""
"3","Валентина Игоревна Фомина","к. Усть-Катав, бул. Восточный, д. 292 стр. 3, 984962","+7 (920) 068-58-36","mjasnikovvalentin@mail.ru","г. Сосновый Бор, алл. Лесхозная, д. 146, 139446","1974-06-15","2017-10-18","F","","88813","",""
"4","тов. Воронцова Фёкла Федоровна","клх Новая Игирма, алл. Пограничная, д. 6/6, 734088","8 334 398 3828","martin85@rambler.ru","клх Котельнич, бул. Серафимовича, д. 97, 753076","1979-10-19","2012-08-25","F","","55167","",""
"5","Филипп Дмитриевич Воронцов","к. Ребриха, пр. Свободы, д. 54, 466509","8 (296) 455-0453","jan_07@rambler.ru","клх Карабудахкент, ул. Абрикосовая, д. 3 к. 192, 196810","1986-08-14","2017-03-15","M","","85106","",""
"6","Агафья Васильевна Зыкова","п. Звенигород, ул. Кирова, д. 66, 552276","+7 (540) 539-43-82","vdementev@yandex.ru","п. Чегем, алл. Торговая, д. 61 к. 79, 232910","1961-05-12","2012-05-21","F","","81297","","1"
"7","Кириллова Акулина Вениаминовна","ст. Черкесск, алл. Волжская, д. 6/1, 314524","+71375862125","pavel_1976@yandex.ru","с. Курильск, алл. Приозерная, д. 560 стр. 1, 195131","1983-08-19","2013-07-17","F","268939","82437","1",""
"8","Блинова Прасковья Ивановна","ст. Чикола, ул. Иванова, д. 3/9 к. 1, 387780","+74612028488","cheslav_2008@yandex.ru","к. Крымск, пер. Металлистов, д. 7, 614065","1972-07-31","2017-09-08","F","274911","115064","1","1"
"9","Агафья Болеславовна Яковлева","ст. Эльбрус, пр. Новоселов, д. 4/4 к. 261, 796898","8 505 777 79 67","lev1991@yahoo.com","д. Новороссийка, бул. Добролюбова, д. 420 стр. 524, 754398","1971-01-29","2019-11-16","F","","92193","","1"
"10","Дмитрий Анисимович Логинов","п. Игнашино, наб. Флотская, д. 1 к. 403, 135896","+7 592 074 68 81","samolovauljana@yandex.ru","д. Южно-Курильск, бул. Зеленый, д. 50, 182094","1988-06-27","2016-11-26","M","","82715","",""
"11","Зиновьев Потап Ефремович","ст. Сыктывкар, пр. Крестьянский, д. 289, 289481","+79840547664","nesterovavarvara@mail.ru","к. Бодайбо, наб. Широкая, д. 71, 816645","1997-12-02","2016-10-03","M","186665","89374","1","1"
"12","Баранов Осип Валерьевич","д. Ульяновск, алл. Амурская, д. 997 стр. 64, 736376","8 (890) 513-9089","shashkovavalentina@hotmail.com","с. Юрьев-Польский, алл. Сурикова, д. 922 стр. 730, 137969","1965-03-09","2015-02-18","M","","73605","","1"
"13","Зимин Кирилл Исидорович","клх Кежма, ш. Герцена, д. 256 к. 4, 841692","81105600267","merkushevemeljan@gmail.com","ст. Иркутск, бул. Амурский, д. 2 стр. 75, 702390","1991-01-03","2019-06-10","M","","79226","",""
"14","Тарасов Евстафий Глебович","г. Кропоткин (Краснод.), ш. Фадеева, д. 24 к. 4, 956774","+7 (323) 165-6325","tverdislav1994@mail.ru","клх Кетченеры, алл. Крылова, д. 829 к. 6, 257546","1994-06-09","2018-10-11","M","","86702","","1"
"15","Гурьев Эммануил Бориславович","ст. Магнитогорск, наб. Ангарская, д. 244 к. 787, 019333","8 (416) 398-3199","milen_1974@hotmail.com","ст. Улан-Удэ, алл. Циолковского, д. 98, 911377","1961-09-01","2012-12-10","M","108010","86031","1",""
"16","г-н Шарапов Никанор Вилорович","г. Усть-Калманка, ш. Саратовское, д. 41 к. 1, 184151","89011984011","ckalashnikova@rambler.ru","д. Кашира, ш. Специалистов, д. 80 к. 8, 111953","1995-02-07","2017-11-17","M","","85063","","1"
"17","Дроздов Викентий Евстигнеевич","д. Тутаев, ш. Ярославское, д. 2 к. 3/6, 529327","8 (373) 135-7441","rogovamarfa@gmail.com","к. Энгельс, пер. Олега Кошевого, д. 10, 406704","1972-03-08","2014-02-14","M","","56463","",""
"18","Зоя Никифоровна Силина","п. Моршанск, бул. Ватутина, д. 6, 829748","8 446 399 2976","timofeevevdokim@yahoo.com","с. Ногинск (Моск.), наб. Чайковского, д. 80 стр. 513, 574767","1972-06-16","2015-05-06","F","","75635","","1"
"19","Клавдия Феликсовна Гурьева","д. Тихвин, бул. Тюленина, д. 2/5, 159920","+7 977 432 6073","nikiforkabanov@rambler.ru","д. Белогорск (Амур.), алл. Нефтяников, д. 93, 851164","1972-09-30","2014-10-07","F","224368","77545","1",""
"20","Агата Ефимовна Королева","с. Калач-на-Дону, бул. Базарный, д. 104 к. 45, 103883","82167746073","flukina@yandex.ru","д. Владивосток, ш. Парковое, д. 9/1, 528054","1970-10-13","2019-04-11","F","","75361","",""
"21","Елизавета Богдановна Громова","к. Нарткала, наб. Коммуны, д. 5/6 стр. 768, 755228","8 (849) 518-4640","nturova@gmail.com","к. Кунгур, ш. Ключевое, д. 529 к. 66, 162780","1992-12-09","2017-08-28","F","","79467","","1"
"22","Громов Автоном Ерофеевич","клх Киров (Вятка), ул. Сельская, д. 5/9 к. 9, 275499","+7 (735) 435-83-28","trofim2013@gmail.com","клх Красноуфимск, ш. Тургенева, д. 775 к. 7, 137756","1995-02-28","2015-04-01","M","","89454","",""
"23","Валерия Дмитриевна Мясникова","с. Лабытнанги, наб. Дарвина, д. 6 стр. 37, 468132","+7 207 190 12 23","miheevradovan@yahoo.com","с. Владикавказ, пр. Ягодный, д. 1, 965665","1968-12-13","2013-04-25","F","","96566","","1"
"24","Белоусова Ия Афанасьевна","ст. Братск, ул. Волочаевская, д. 186 стр. 865, 280122","+7 (932) 771-8966","kuprijansuvorov@mail.ru","д. Балашиха, пер. Волочаевский, д. 851 к. 745, 102233","1966-05-11","2019-09-19","F","","63535","","1"
"25","Ефимов Самсон Ааронович","ст. Невьянск, наб. Р.Люксембург, д. 9/5, 380907","8 (034) 415-6169","shirjaevroman@gmail.com","д. Руза, ш. Макарова, д. 3 к. 3, 273118","1984-05-31","2012-01-24","M","","97088","",""
"26","Вишняков Софон Харлампьевич","г. Пермь, наб. Светлая, д. 748, 397200","8 235 092 1036","haritonovmartjan@yahoo.com","п. Ельня, пер. Кутузова, д. 6/6, 340870","1980-02-11","2015-03-11","M","","81292","","1"
"27","Юлия Николаевна Маслова","п. Южно-Сахалинск, ул. Вахитова, д. 2, 050044","8 692 623 3072","avgust_14@yandex.ru","с. Ельня, наб. Огородная, д. 4 к. 25, 135059","1968-03-11","2019-03-02","F","","72850","",""
"28","Любим Филатович Крылов","клх Кабанск, наб. Братская, д. 31, 766092","+7 (181) 629-1894","kornilovakira@gmail.com","п. Тамбов, алл. Тюленина, д. 1/7 стр. 7/6, 196671","1961-02-19","2016-01-24","M","","87224","","1"
"29","Селезнева Наталья Архиповна","клх Махачкала, бул. Коммунистический, д. 799 к. 672, 145621","81447842664","mirzhukov@rambler.ru","к. Арсеньев, пер. 50 лет ВЛКСМ, д. 293, 324780","1976-05-13","2019-01-11","F","","94922","","1"
"30","Акулина Ильинична Виноградова","с. Дивногорск, наб. Правды, д. 10 стр. 3, 660519","+7 850 018 59 15","milovan1992@gmail.com","п. Байкальск, пр. Логовой, д. 7 к. 6/4, 310516","1962-08-26","2018-11-22","F","","69495","",""
"31","Самсон Абрамович Белоусов","г. Онега, ул. Заовражная, д. 9/8, 254229","+7 349 248 93 96","rjabovasinklitikija@gmail.com","г. Ахтубинск, пр. Есенина, д. 9 к. 18, 734632","1965-12-19","2017-03-11","M","","94230","",""
"32","Сидор Якубович Артемьев","к. Кингисепп, алл. Пугачева, д. 7 к. 51, 313064","+7 896 455 87 94","raisa_03@hotmail.com","с. Псков, ш. Гаражное, д. 1 к. 3, 731040","1974-09-23","2019-01-14","M","154456","74365","1",""
