id,fullname,address,phone_number,email,workplace,birthdate,registration_date,gender,income,expenses,credit,deposit
1,Александрова Анастасия Аскольдовна,"ст. Озеры, пр. Морозова, д. 7 стр. 8, 258702",+7 (387) 419-8975,ulitkin@rambler.ru,"к. Кижи, пр. Одесский, д. 320 стр. 920, 508949",1990-03-13,2019-02-26,F,169840,85911,True,False
2,Никифоров Ефрем Тимурович,"клх Россошь, бул. Ясный, д. 706, 499603",+7 (713) 286-27-78,fmjasnikova@yandex.ru,"к. Ардон, пр. Энергетиков, д. 65, 370577",1982-11-05,2016-01-12,M,195769,87781,True,True
3,Антонина Анатольевна Русакова,"п. Кемерово, алл. Олега Кошевого, д. 453, 601509",8 389 855 33 98,veselovtrofim@rambler.ru,"клх Гаврилов-Ям, пер. Серафимовича, д. 84, 019011",1986-02-02,2018-01-23,F,,77363,False,False
4,Петухов Макар Всеволодович,"ст. Курск, пер. Олега Кошевого, д. 9, 983612",+7 (846) 149-60-02,velimir_1985@yandex.ru,"ст. Дербент, алл. Степная, д. 15 стр. 8/7, 453001",1985-08-18,2014-12-31,M,123481,97513,True,False
5,Ульяна Александровна Шашкова,"г. Северобайкальск, пер. Дачный, д. 262, 080183",8 (818) 911-37-96,gordeevaakulina@rambler.ru,"клх Ишим, ул. Суворова, д. 25, 005853",1990-12-20,2019-02-25,F,267276,71076,True,True
6,Варвара Ильинична Евдокимова,"к. Палана, бул. Средний, д. 61 к. 29, 373724",8 807 159 75 54,gorbachevvadim@yahoo.com,"д. Устюжна, бул. Вахитова, д. 36 к. 633, 260018",1988-07-25,2017-08-21,F,275555,64160,True,True
7,Мельников Савва Елизарович,"д. Тайшет, ул. Пугачева, д. 48 стр. 621, 142356",8 (790) 278-79-16,moke1998@rambler.ru,"г. Ирбит, бул. Новгородский, д. 26, 885161",1998-04-21,2015-09-09,M,,63605,False,False
8,Адриан Ермилович Коновалов,"к. Ивдель, наб. Славянская, д. 9/1, 890707",80256363179,pribakova@mail.ru,"ст. Пушкин, бул. Ермака, д. 996 к. 800, 589218",1972-07-12,2017-01-23,M,,83628,False,True
9,Потапова Евдокия Львовна,"г. Кабанск, алл. Набережная, д. 84 стр. 74, 032613",8 138 203 1303,valeri74@rambler.ru,"п. Черский, пр. Дальний, д. 29 стр. 3, 391458",1991-06-29,2013-10-09,F,,94377,False,False
10,Никодим Борисович Калашников,"клх Калевала, алл. Карла Маркса, д. 3/6, 785903",8 (994) 303-4136,isa75@yandex.ru,"ст. Билибино, бул. 60 лет СССР, д. 1/7 к. 3/9, 207532",1996-01-12,2017-10-05,M,201403,72998,True,True
11,Тихон Марсович Рогов,"ст. Тутончаны, алл. Заовражная, д. 5 стр. 6/6, 766230",+7 (976) 633-23-98,koshelevsavvati@mail.ru,"клх Назрань, пр. Специалистов, д. 7/9, 679116",1978-10-04,2015-05-09,M,,71524,False,False
12,тов. Коновалова Регина Тарасовна,"г. Рославль, алл. Детская, д. 58 к. 98, 843970",8 (674) 685-05-00,odintsovafanasi@mail.ru,"г. Балашиха, ш. Клубное, д. 76 стр. 7, 652927",1998-05-27,2015-09-07,F,,89032,False,False
13,Ратмир Федосеевич Гришин,"п. Шарья, пер. Ильича, д. 227 к. 30, 255286",+7 947 610 54 92,seliverstovairaida@mail.ru,"клх Нижневартовск, пр. Смирнова, д. 469, 987199",1968-11-24,2016-11-19,M,245135,96979,True,True
14,Кузьмин Радим Ефимьевич,"ст. Красновишерск, ш. Казанское, д. 315 к. 6/1, 828414",8 (811) 734-2654,platon_55@yandex.ru,"клх Шумиха, алл. Волгоградская, д. 2 стр. 5, 747335",1982-02-19,2016-01-31,M,,84663,False,True
15,Андреева Дарья Романовна,"п. Тамбов, алл. Механическая, д. 864, 971469",+73242336513,evfrosinija07@yandex.ru,"клх Уренгой, бул. Васильковый, д. 55, 625622",1980-03-12,2015-04-03,F,135950,79679,True,False
16,Клавдия Харитоновна Ларионова,"п. Юрьев-Польский, ш. Добролюбова, д. 8 стр. 7, 674529",87331221272,foti1975@rambler.ru,"д. Снежногорск (Мурм.), пер. Ставропольский, д. 803 стр. 5/5, 234407",1995-06-04,2012-11-28,F,,91126,False,False
17,Кира Константиновна Архипова,"к. Моздок, бул. Запрудный, д. 88 стр. 836, 391594",83719169288,avksentidoronin@mail.ru,"д. Снежинск, пер. Дальний, д. 8, 269281",1996-06-09,2016-03-16,F,,82263,False,False
18,Онуфрий Иосифович Киселев,"ст. Кропоткин (Краснод.), пер. Механический, д. 26, 691398",+78905061393,svjatopolk_45@yandex.ru,"ст. Тобольск, ул. Родниковая, д. 44 к. 8/9, 855159",1996-07-03,2013-06-23,M,,62776,False,True
19,Борислав Елизарович Белозеров,"п. Котельнич, пер. Пролетарский, д. 89, 017563",8 612 309 9622,hevdokimov@mail.ru,"д. Гаврилов-Ям, ш. Краснопартизанское, д. 8/5, 872068",1979-09-06,2018-06-06,M,119378,95900,True,False
20,Нинель Оскаровна Михайлова,"ст. Краснодар, алл. Чапаева, д. 4/6 стр. 6/3, 273334",+7 (165) 154-80-13,elizar2009@rambler.ru,"с. Бреды, наб. Октября, д. 5, 978341",1989-12-16,2014-02-02,F,147246,81539,True,False
21,Лихачева Елена Богдановна,"клх Туруханск, пр. 40 лет Победы, д. 5, 561464",8 804 514 82 74,terentevflorentin@yandex.ru,"клх Новомосковск, алл. Базарная, д. 720 стр. 80, 339488",1962-05-31,2014-01-13,F,196532,71260,True,False
22,Ковалев Осип Трофимович,"к. Иваново, алл. Лунная, д. 5/3, 743140",88210836924,ruslankondratev@hotmail.com,"д. Кировск (Мурм.), пр. Добролюбова, д. 2/8 к. 6, 650325",1997-01-04,2015-12-05,M,281795,100918,True,True
23,Пелагея Семеновна Яковлева,"с. Каменск-Уральский, ш. Монтажников, д. 871 к. 7/2, 112393",+7 (823) 042-6563,orest_85@gmail.com,"д. Верхнее Пенжино, ш. Красина, д. 1, 341832",1967-02-24,2012-05-11,F,,81641,False,True
24,Рожкова Раиса Григорьевна,"ст. Малая Вишера, бул. Зои Космодемьянской, д. 27 стр. 453, 641803",8 (281) 747-46-71,rostislav67@yahoo.com,"г. Москва, пер. Королева, д. 52, 353673",1984-06-28,2013-03-23,F,163804,100355,True,False
25,тов. Мартынов Александр Филатович,"клх Нарьян-Мар, наб. Полтавская, д. 945 к. 157, 673870",+7 (221) 262-22-53,natan_1970@rambler.ru,"д. Шелехов, наб. Автомобилистов, д. 70 к. 3/7, 708150",1979-07-23,2018-11-22,M,,83286,False,False
26,Стрелкова Пелагея Феликсовна,"г. Октябрьское (Челяб.), ш. Леваневского, д. 333 к. 758, 024645",8 046 493 91 58,laleksandrova@yahoo.com,"п. Новороссийск, пер. Кузнецкий, д. 7/1 к. 454, 537839",1969-08-26,2014-07-28,F,131325,92344,True,True
27,Суханова Наталья Георгиевна,"к. Моздок, ул. Восточная, д. 338 стр. 625, 702904",+7 (497) 661-47-73,mili2006@gmail.com,"г. Каргополь, пер. Студенческий, д. 29, 917088",1963-12-17,2018-02-14,F,,56329,False,False
28,Екатерина Леоновна Силина,"с. Набережные Челны, наб. Российская, д. 9/9 стр. 3, 331034",+7 650 777 4863,ribakovspartak@gmail.com,"д. Радужный, ш. Калинина, д. 37 стр. 116, 347724",1965-09-10,2012-02-03,F,113577,82176,True,True
29,Анжела Ефимовна Лихачева,"г. Радужный, пр. Слободской, д. 87 к. 29, 384634",8 (865) 132-26-32,vpavlov@hotmail.com,"клх Ногинск (Моск.), ш. Логовое, д. 6/5 стр. 314, 926062",1973-07-28,2012-09-11,F,214506,93626,True,False
30,тов. Богданова Александра Вячеславовна,"с. Чебоксары, пер. Серафимовича, д. 1/5 к. 6, 194410",+7 884 959 8803,avksentikononov@gmail.com,"с. Токсово, алл. О.Кошевого, д. 145, 577431",1990-04-13,2013-08-12,F,,71845,False,False
31,Королев Максимильян Вилорович,"с. Киренск, пр. Энергетический, д. 13, 462274",8 (835) 671-3338,luka1985@mail.ru,"клх Бодайбо, алл. Целинная, д. 8/9 к. 6, 225753",1973-07-19,2019-12-29,M,220661,68411,True,True
32,Елизар Измаилович Ширяев,"г. Лысьва, пер. Большой, д. 59 к. 7, 148537",8 (133) 736-1989,nadezhda13@yandex.ru,"п. Ведено, бул. Курчатова, д. 486 к. 776, 611302",1969-01-07,2017-09-26,M,,60707,False,True
33,Игнатьев Никифор Борисович,"с. Курчатов, пр. Стахановский, д. 6/8 стр. 8, 823226",8 697 603 05 98,fedor21@hotmail.com,"п. Серебряные Пруды, пр. Олимпийский, д. 43 к. 5/3, 696158",1990-08-08,2018-03-20,M,,79026,False,False
34,Ульян Викторович Муравьев,"к. Нефтекамск, алл. Свободная, д. 427 стр. 3/7, 184732",+7 776 192 89 14,fmamontov@hotmail.com,"клх Магадан, пр. Чехова, д. 844 к. 11, 966275",1966-07-08,2014-05-09,M,,82921,False,True
35,Терентий Демьянович Большаков,"д. Джубга, пр. Привокзальный, д. 1/2, 939607",8 988 198 0606,hristofor2008@yahoo.com,"г. Кабанск, наб. Амурская, д. 8, 504440",1985-03-20,2012-01-01,M,,79277,False,False
36,Ипполит Марсович Терентьев,"с. Неплюевка, бул. 60 лет Октября, д. 797 к. 3, 413467",+7 (185) 699-41-36,silinserafim@hotmail.com,"с. Ухта, пер. 8-е Марта, д. 27 к. 2, 300425",1991-11-09,2019-06-18,M,,86196,False,False
